"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"NIFTY 50","23,880.35","23,983.20","23,858.25","23,913.70","23,907.15","-","-6.55","-0.03","52,82,09,844","34,746.15","26,373.20","22,182.55","-0.77","-3.70"
"COALINDIA","429.00","468.30","428.40","458.15","463.60","-","5.45","1.19","11,37,74,762","5,123.39","491.25","368.65","2.45","15.91"
"HDFCBANK","769.50","773.90","756.90","778.90","759.15","-","-19.75","-2.54","6,36,56,434","4,851.77","1,020.50","726.65","-3.88","-21.18"
"ICICIBANK","1,286.00","1,293.40","1,266.70","1,279.10","1,272.50","-","-6.60","-0.52","1,83,64,527","2,346.89","1,500.00","1,187.60","-3.17","-12.02"
"RELIANCE","1,353.00","1,361.00","1,348.60","1,356.30","1,352.00","-","-4.30","-0.32","1,32,13,151","1,789.88","1,611.80","1,290.00","-1.01","-4.93"
"BHARTIARTL","1,840.40","1,869.40","1,840.40","1,846.90","1,847.40","-","0.50","0.03","86,52,425","1,604.41","2,174.50","1,740.50","1.50","0.20"
"ADANIENT","2,982.00","3,027.50","2,944.00","2,969.30","2,972.80","-","3.50","0.12","38,26,563","1,139.77","3,027.50","1,753.00","28.04","20.54"
"AXISBANK","1,296.30","1,314.50","1,293.10","1,299.30","1,304.50","-","5.20","0.40","72,43,170","943.97","1,418.30","1,042.50","-1.49","9.11"
"ETERNAL","251.09","258.88","251.09","250.17","255.71","-","5.54","2.21","3,66,51,594","936.81","368.45","212.60","0.09","13.76"
"HINDALCO","1,118.30","1,154.00","1,118.30","1,103.80","1,150.50","-","46.70","4.23","75,58,808","866.11","1,154.00","618.00","8.35","74.46"
"TATASTEEL","210.70","218.96","210.70","210.47","214.51","-","4.04","1.92","3,91,01,728","841.63","224.40","149.80","0.58","32.69"
"ONGC","284.20","284.20","272.45","287.50","273.30","-","-14.20","-4.94","2,91,66,805","807.48","307.50","228.61","-4.41","11.76"
"WIPRO","203.85","205.99","200.20","203.73","201.70","-","-2.03","-1.00","3,94,58,935","797.98","273.10","186.50","-1.63","-18.75"
"SBIN","969.80","975.90","966.60","968.50","967.30","-","-1.20","-0.12","81,09,781","786.59","1,234.70","781.70","-13.00","21.87"
"ITC","295.65","296.35","291.05","301.65","292.25","-","-1.40","-0.48","2,54,41,927","745.22","444.20","287.00","-3.82","-32.65"
"INFY","1,161.00","1,167.30","1,155.00","1,167.70","1,162.00","-","-5.70","-0.49","63,70,244","739.26","1,728.00","1,089.00","-0.71","-25.99"
"LT","4,043.00","4,069.90","4,017.90","4,037.80","4,050.00","-","12.20","0.30","16,06,771","650.55","4,440.00","3,288.10","-0.09","11.26"
